chr start end symbol
1 21877762 21904903 ALPL*
1 21835476 21904903 ALPL**
1 110602491 110613294 ALX3
1 110046799 110052349 AMIGO1
1 115215719 115238239 AMPD1
1 115215719 115238167 AMPD1*
1 110166609 110174677 AMPD2
1 110163535 110174677 AMPD2*
1 110163763 110174673 AMPD2**
1 110162458 110174673 AMPD2***
1 110162434 110174677 AMPD2****
1 104292278 104301311 AMY1A
1 104230039 104239073 AMY1A*
1 104198140 104207173 AMY1A**
1 104198301 104207173 AMY1A***
1 104230039 104238912 AMY1A****
1 104292439 104301311 AMY1A*****
1 104230040 104238889 AMY1B
1 104292462 104301310 AMY1B*
1 104198324 104207172 AMY1B**
1 104292409 104301314 AMY1C
1 104230036 104239076 AMY1C*
1 104198137 104207176 AMY1C**
1 104292275 104301314 AMY1C***
1 104230036 104238942 AMY1C****
1 104198271 104207176 AMY1C*****
1 104159953 104168402 AMY2A
1 104097265 104122156 AMY2B
1 213165523 213189217 ANGEL2
1 213165523 213188851 ANGEL2*
1 213165523 213189209 ANGEL2**
1 178818669 178840212 ANGPTL1
1 63063190 63071984 ANGPTL3
1 11249411 11256038 ANGPTL7
1 70724681 70820405 ANKRD13C
1 142697420 142713605 ANKRD20A12P
1 145470514 145475647 ANKRD34A
1 145549208 145568526 ANKRD35
1 145549208 145568522 ANKRD35*
1 168214818 168216668 ANKRD36BP1
1 173577474 173638990 ANKRD45
1 1353799 1356656 ANKRD65
1 1353799 1356824 ANKRD65*
1 150190716 150208460 ANP32E
1 150190716 150207026 ANP32E*
1 150954767 150968109 ANXA9
1 114436816 114447421 AP4B1
1 114436816 114447650 AP4B1*
1 114355233 114443859 AP4B1-AS1
1 114399256 114443859 AP4B1-AS1*
1 159557615 159558655 APCS
1 150237798 150241609 APH1A
1 150237803 150241416 APH1A*
1 161192081 161193418 APOA2
1 183615410 183622451 APOBEC4
1 154293568 154297801 AQP10
1 228270850 228286913 ARF1
1 228270834 228286913 ARF1*
1 228270360 228286913 ARF1**
1 228270408 228286913 ARF1***
1 94634460 94703140 ARHGAP29
1 94634460 94713302 ARHGAP29*
1 161016735 161039681 ARHGAP30
1 17944807 18024370 ARHGEF10L
1 17866192 18024364 ARHGEF10L*
1 17944807 18024364 ARHGEF10L**
1 17907047 18024370 ARHGEF10L***
1 156904631 157015534 ARHGEF11
1 156904631 157016695 ARHGEF11*
1 3371228 3397677 ARHGEF16
1 16524348 16539147 ARHGEF19
1 155916629 155949081 ARHGEF2
1 155916644 155948338 ARHGEF2*
1 155916629 155949351 ARHGEF2**
1 155916629 155947966 ARHGEF2***
1 155916629 155948336 ARHGEF2****
1 27022505 27108595 ARID1A
1 235330216 235491494 ARID4B
1 235330209 235490802 ARID4B*
1 202102531 202113871 ARL8A
1 202102531 202113865 ARL8A*
1 45140385 45191263 ARMH1
1 150782189 150849075 ARNT
1 183589980 183604918 ARPC5
1 44399472 44402912 ARTN
1 44398991 44402912 ARTN*
1 231114839 231136479 ARV1
1 23755055 23810672 ASAP3
1 76384557 76398089 ASB17
1 201083080 201084500 ASCL5
1 155305058 155532594 ASH1L
1 155531832 155533735 ASH1L-AS1
1 197053256 197115799 ASPM
1 197053256 197115824 ASPM*
1 176830202 177133848 ASTN1
1 176830199 177133848 ASTN1*
1 176826440 177134040 ASTN1**
1 176837953 177134040 ASTN1***
1 1447909 1470067 ATAD3A
1 1447541 1470065 ATAD3A*
1 1407144 1433228 ATAD3B
1 1413228 1433228 ATAD3B*
1 1385068 1405542 ATAD3C
1 212738675 212794119 ATF3
1 212782102 212794116 ATF3*
1 212788359 212794119 ATF3**
1 161736109 161933860 ATF6
1 63249802 63331185 ATG4C
1 63249776 63330941 ATG4C*
1 17312452 17338423 ATP13A2
1 116915865 116947396 ATP1A1
1 116916488 116947396 ATP1A1*
1 116925991 116947396 ATP1A1**
1 116935486 116961244 ATP1A1-AS1
1 116941621 116961197 ATP1A1-AS1*
1 116947335 116961197 ATP1A1-AS1**
1 116947335 116961205 ATP1A1-AS1***
1 116948039 116961181 ATP1A1-AS1****
1 160085548 160113374 ATP1A2
1 160147200 160156767 ATP1A4
1 160121392 160156770 ATP1A4*
1 169075927 169101957 ATP1B1
1 203595914 203713209 ATP2B4
1 203595959 203713209 ATP2B4*
1 203595959 203702757 ATP2B4**
1 203597064 203702758 ATP2B4***
1 28562634 28564611 ATP5IF1
1 28562601 28564616 ATP5IF1*
1 111992085 112005395 ATP5PB
1 44440631 44443967 ATP6V0B
1 198492351 198509810 ATP6V1G3
1 198492351 198510075 ATP6V1G3*
1 154298000 154310322 ATP8B2
1 154298000 154323780 ATP8B2*
1 154301273 154323780 ATP8B2**
1 154300222 154323780 ATP8B2***
1 47100710 47131550 ATPAF1
1 47100710 47134099 ATPAF1*
1 47098410 47134115 ATPAF1**
1 110026526 110035420 ATXN7L2
1 110026580 110035420 ATXN7L2*
1 110026526 110035356 ATXN7L2**
1 26160496 26185948 AUNIP
1 26158403 26185949 AUNIP*
1 1309115 1310587 AURKAIP1
1 220439520 220441057 AURKAP1
1 206223942 206234394 AVPR1B
1 179335105 179523870 AXDND1
1 179335178 179523870 AXDND1*
1 33546753 33589093 AZIN2
1 33547778 33586132 AZIN2*
1 33547778 33567493 AZIN2**
1 235626771 235667752 B3GALNT2
1 235610504 235667752 B3GALNT2*
1 193147859 193155743 B3GALT2
1 1167616 1170420 B3GALT6
1 44444873 44456843 B4GALT2
1 44446176 44456843 B4GALT2*
1 44445607 44456843 B4GALT2**
1 161141099 161147297 B4GALT3
1 161141099 161147758 B4GALT3*
1 91177095 91182859 BARHL2
1 212859758 212873182 BATF3
1 156611908 156629320 BCAN
1 156611908 156623264 BCAN*
1 94027297 94147393 BCAR3
1 94027297 94079654 BCAR3*
1 94027342 94146926 BCAR3**
1 94027297 94050719 BCAR3***
1 94027297 94312775 BCAR3****
1 94057524 94065587 BCAR3-AS1
1 115110180 115124236 BCAS2
1 85731459 85742315 BCL10
1 114419437 114430203 BCL2L15
1 147013270 147098015 BCL9
1 242121068 242122364 BECN2
1 49193194 49242641 BEND5
1 49193190 49242563 BEND5*
1 45249256 45253842 BEST4
1 156211974 156213108 BGLAP
1 205404013 205425214 BLACAT1
1 169337116 169365780 BLZF1
1 169337432 169357543 BLZF1*
1 169337116 169346621 BLZF1**
1 39957307 39995541 BMP8A
1 40222853 40254537 BMP8B
1 151009061 151020196 BNIPL
1 149871120 149872348 BOLA1
1 220230823 220263195 BPNT1
1 220230823 220263130 BPNT1*
1 92417708 92479985 BRDT
1 92414927 92479985 BRDT*
1 177140093 177251558 BRINP2
1 190066796 190445140 BRINP3
1 190066788 190446994 BRINP3*
1 222886716 222908529 BROX
1 222885905 222908529 BROX*
1 222886662 222908538 BROX**
1 222885894 222908538 BROX***
1 222885905 222887324 BROX****
1 32830233 32860042 BSDC1
1 55464605 55482845 BSND
1 45274153 45279801 BTBD19
1 92634480 92650280 BTBD8
1 92545901 92650280 BTBD8*
1 52521856 52556388 BTF3L4
1 52521966 52556388 BTF3L4*
1 203274646 203278729 BTG2
1 228698059 228699989 BTNL10
1 244515936 244552965 C1orf100
1 172422032 172437969 C1orf105
1 172389824 172437969 C1orf105*
1 38147241 38156201 C1orf109
1 38147241 38157914 C1orf109*
1 169764180 169823220 C1orf112
1 169764180 169773526 C1orf112*
1 169764139 169822229 C1orf112**
1 169763870 169773526 C1orf112***
1 169764139 169822230 C1orf112****
1 220863704 220872495 C1orf115
1 207191866 207206101 C1orf116
1 38273472 38275126 C1orf122
1 38273461 38275126 C1orf122*
1 11006529 11042094 C1orf127
1 11006529 11026744 C1orf127*
1 231359510 231376921 C1orf131
1 67557849 67600653 C1orf141
1 92683471 92711370 C1orf146
1 12806147 12823847 C1orf158
1 1017202 1051469 C1orf159
1 112016605 112021134 C1orf162
1 11822249 11849642 C1orf167
1 11837133 11839676 C1orf167-AS1
1 3805696 3816836 C1orf174
1 51567899 51613757 C1orf185
1 154171561 154178809 C1orf189
1 109648576 109656453 C1orf194
1 109648576 109655369 C1orf194*
1 109648572 109655369 C1orf194**
1 15494969 15498120 C1orf195
1 15490687 15498120 C1orf195*
1 230972864 230991753 C1orf198
1 230972864 231005337 C1orf198*
1 230972864 231004267 C1orf198**
1 184356162 184598153 C1orf21
1 43747550 43751252 C1orf210
1 36179476 36182512 C1orf216
1 36179477 36184485 C1orf216*
1 178511930 178518024 C1orf220
1 162351517 162356602 C1orf226
1 162348630 162356608 C1orf226*
1 247273456 247275719 C1orf229
1 26490591 26495454 C1orf232
1 26492198 26495073 C1orf232*
1 228288431 228291026 C1orf35
1 154179197 154193066 C1orf43
1 154183936 154193273 C1orf43*
1 43232919 43245161 C1orf50
1 85715635 85725345 C1orf52
1 197871759 197876489 C1orf53
1 150245192 150253327 C1orf54
1 150244686 150253335 C1orf54*
1 150245201 150253335 C1orf54**
1 151020226 151023871 C1orf56
1 152691997 152692946 C1orf68
1 209952552 209957904 C1orf74
1 60456065 60539442 C1orf87
1 34642507 34684731 C1orf94
1 34632593 34684731 C1orf94*
1 22963254 22966175 C1QA
1 22963120 22966171 C1QA*
1 22979728 22988129 C1QB
1 22970125 22974601 C1QC
1 1177832 1182102 C1QTNF12
1 151810338 151813033 C2CD4D
1 151810752 151824011 C2CD4D-AS1
1 207277577 207318317 C4BPA
1 207262583 207273337 C4BPB
1 207262204 207273337 C4BPB*
1 207262627 207273337 C4BPB**
1 57320469 57383896 C8A
1 57394879 57431688 C8B
1 57394882 57431813 C8B*
1 150230168 150237478 CA14
1 9005926 9035148 CA6
1 9005926 9034503 CA6*
1 64971596 65158741 CACHD1
1 64935811 65158736 CACHD1*
1 181452652 181777219 CACNA1E
1 201008639 201081554 CACNA1S
1 174969082 174981163 CACYBP
1 174968570 174981163 CACYBP*
1 159141404 159173103 CADM3
1 159165774 159172212 CADM3-AS1
1 1846698 1848735 CALML6
1 52027537 52049403 CALR4P
1 209757058 209787284 CAMK1G
1 20808883 20812703 CAMK2N1
1 200708699 200829831 CAMSAP2
1 6845513 7829766 CAMTA1
1 7729789 7829766 CAMTA1*
1 7764795 7829766 CAMTA1**
1 6845383 6948261 CAMTA1***
1 7740147 7829766 CAMTA1****
1 6845513 6932074 CAMTA1*****
1 7729803 7829766 CAMTA1******
1 7729824 7829766 CAMTA1*******
1 6845513 6948261 CAMTA1********
1 7448242 7449814 CAMTA1-AS2
1 7442547 7449814 CAMTA1-AS2*
1 6843951 6845040 CAMTA1-DT
1 40505911 40538320 CAP1
1 40506400 40538320 CAP1*
1 40506697 40538320 CAP1**
1 223900240 223963720 CAPN2
1 223889294 223963720 CAPN2*
1 223714978 223853403 CAPN8
1 230883129 230937518 CAPN9
1 230883133 230937734 CAPN9*
1 113162453 113214236 CAPZA1
1 19665268 19812033 CAPZB
1 19700668 19812033 CAPZB*
1 19665268 19810789 CAPZB**
1 15817895 15850940 CASP9
1 15817895 15850710 CASP9*
1 15817895 15851285 CASP9**
1 160160364 160171676 CASQ1
1 116242641 116311335 CASQ2
1 10696665 10856703 CASZ1
1 10707267 10856703 CASZ1*
1 26517092 26529455 CATSPER4
1 244624574 244803806 CATSPERE
1 244624672 244803662 CATSPERE*
1 52816264 52831877 CC2D1B
1 52816268 52831877 CC2D1B*
1 45959537 45965745 CCDC163
1 46085715 46089726 CCDC17
1 93646280 93744287 CCDC18
1 93646272 93744287 CCDC18*
1 93775665 93811368 CCDC18-AS1
1 169364107 169429907 CCDC181
1 169364107 169396712 CCDC181*
1 223566756 223568807 CCDC185
1 162824086 162838605 CCDC190
1 44457518 44462198 CCDC24
1 44457267 44462198 CCDC24*
1 44457497 44462198 CCDC24**
1 44457270 44462198 CCDC24***
1 3669013 3688209 CCDC27
1 32666195 32670988 CCDC28B
1 42998690 43119861 CCDC30
1 42928956 43119861 CCDC30*
1 42928956 43122861 CCDC30**
1 42921777 43122861 CCDC30***
1 86046443 86049632 CCN1
1 1321090 1334715 CCNL2
1 1321090 1333722 CCNL2*
1 1327667 1334722 CCNL2**
1 229456761 229478794 CCSAP
1 156278751 156308206 CCT3
1 156278758 156308083 CCT3*
1 117544371 117579173 CD101
1 145695797 145715586 CD160
1 27705665 27709823 CD164L2
1 158224213 158228058 CD1A
1 158218125 158228058 CD1A*
1 158297744 158301321 CD1B
1 158259712 158264564 CD1C
1 158150684 158156216 CD1D
1 158149736 158156216 CD1D*
1 158150684 158154686 CD1D**
1 158147819 158154686 CD1D***
1 158323683 158327343 CD1E
1 158323485 158327343 CD1E*
1 117297051 117311851 CD2
1 160799949 160832677 CD244
1 167399876 167487766 CD247
1 208059882 208084470 CD34
1 208054316 208084470 CD34*
1 207925398 207968849 CD46
1 207925382 207968861 CD46*
1 160648535 160681612 CD48
1 160650211 160681641 CD48*
1 26644448 26647014 CD52
1 111413820 111442558 CD53
1 111415721 111442558 CD53*
1 111415769 111442544 CD53**
1 207495022 207514111 CD55
1 207495022 207534311 CD55*
1 117057155 117113648 CD58
1 117061321 117113715 CD58*
1 157800700 157811598 CD5L
1 157796857 157811598 CD5L*
1 160510887 160549286 CD84
1 160510883 160549306 CD84*
1 20915589 20945396 CDA
1 100818061 100985833 CDC14A
1 100818022 100965021 CDC14A*
1 100810570 100965021 CDC14A**
1 100818022 100950926 CDC14A***
1 43824651 43828873 CDC20
1 22379201 22427853 CDC42
1 22379201 22417299 CDC42*
1 227177565 227506193 CDC42BPA
1 227177558 227506193 CDC42BPA*
1 151023462 151032098 CDC42SE1
1 151023446 151032125 CDC42SE1*
1 91966407 91991321 CDC7
1 91966403 91991321 CDC7*
1 91966664 91991321 CDC7**
1 193091160 193223942 CDC73
1 38158187 38175391 CDCA8
1 54598392 54618854 CDCP2
1 54604667 54618854 CDCP2*
1 1633817 1655796 CDK11A
1 1570602 1655769 CDK11B
1 205473796 205501917 CDK18
1 51434366 51440306 CDKN2C
1 51435916 51440306 CDKN2C*
1 15783226 15798586 CELA2A
1 15802598 15817889 CELA2B
1 22328149 22339035 CELA3A
1 22303514 22315847 CELA3B
1 151672533 151689279 CELF3
1 109792160 109818373 CELSR2
1 214776537 214837914 CENPF
1 173768687 173793777 CENPL
1 173768687 173793270 CENPL*
1 10490489 10502865 CENPS
1 10490806 10502865 CENPS*
1 10490489 10512210 CENPS-CORT
1 10490806 10512210 CENPS-CORT*
1 3728650 3773775 CEP104
1 243287729 243418583 CEP170
1 243287729 243418708 CEP170*
1 179923944 180084010 CEP350
1 26560690 26605299 CEP85
1 26595769 26605299 CEP85*
1 111682004 111727726 CEPT1
1 111682844 111727726 CEPT1*
1 111682470 111727726 CEPT1**
1 111682120 111727726 CEPT1***
1 150937648 150947479 CERS2
1 150937661 150947311 CERS2*
1 161334522 161337666 CFAP126
1 159842153 159869955 CFAP45
1 43638000 43720029 CFAP57
1 43638000 43676549 CFAP57*
1 1853395 1935225 CFAP74
1 196621172 196716634 CFH
1 196621007 196670695 CFH*
1 196788860 196801319 CFHR1
1 196912897 196928356 CFHR2
1 196912867 196928750 CFHR2*
1 196743929 196763203 CFHR3
1 196743969 196764537 CFHR3*
1 196857181 196887763 CFHR4
1 196946685 196978808 CFHR5
1 151483862 151511167 CGN
1 146714333 146767443 CHD1L
1 146644325 146767443 CHD1L*
1 146714791 146767447 CHD1L**
1 6161846 6240381 CHD5
1 203148058 203155832 CHI3L1
1 111770334 111786062 CHI3L2
1 111770280 111786062 CHI3L2*
1 111772357 111786062 CHI3L2**
1 111833472 111863185 CHIA
1 111823145 111828730 CHIAP2
1 203185206 203198801 CHIT1
1 241792152 241803671 CHML
1 241792152 241799496 CHML*
1 239549867 240078749 CHRM3
1 239792372 240078749 CHRM3*
1 239549867 240049898 CHRM3**
1 240061318 240063172 CHRM3-AS1
1 239870425 239882419 CHRM3-AS2
1 154540253 154552486 CHRNB2
1 153606541 153618782 CHTOP
1 153606457 153618782 CHTOP*
1 150254963 150259504 CIART
1 41326725 41328035 CITED4
1 154947117 154951725 CKS1B
1 154947156 154951727 CKS1B*
1 86934609 86965942 CLCA1
1 86889853 86922236 CLCA2
1 87099958 87121059 CLCA3P
1 87012760 87046432 CLCA4
1 87036863 87170176 CLCA4-AS1
1 87169180 87170176 CLCA4-AS1*
1 109472127 109506106 CLCC1
1 109472129 109493070 CLCC1*
1 11866152 11903201 CLCN6
1 11866247 11903187 CLCN6*
1 16348530 16360545 CLCNKA
1 16375256 16383821 CLCNKB
1 16370276 16383803 CLCNKB*
1 43198763 43205925 CLDN19
1 43198763 43205907 CLDN19*
1 25071937 25170810 CLIC4
1 155232658 155243295 CLK2
1 36197712 36235579 CLSPN
1 36185813 36235579 CLSPN*
1 9789078 9884584 CLSTN1
1 9788983 9884023 CLSTN1*
1 47799461 47844511 CMPK1
1 47799461 47824547 CMPK1*
1 224622550 224928256 CNIH3
1 224622341 224928251 CNIH3*
1 224804018 224928256 CNIH3**
1 224544580 224567153 CNIH4
1 26503981 26516375 CNKSR1
1 95362512 95392666 CNN3
1 95362504 95391364 CNN3*
1 95362504 95392779 CNN3**
1 95391915 95428826 CNN3-DT
1 95393583 95428826 CNN3-DT*
1 24197005 24239852 CNR2
1 246729757 246831897 CNST
1 246729638 246811544 CNST*
1 205012339 205047417 CNTN2
1 205012076 205047417 CNTN2*
1 234509428 234519795 COA6
1 234509446 234519795 COA6*
1 234509201 234520826 COA6**
1 234508552 234509149 COA6-AS1
1 234508552 234509339 COA6-AS1*
1 53150120 53164019 COA7
1 230778226 230829728 COG2
1 103342028 103574078 COL11A1
1 103342022 103574052 COL11A1*
1 32117864 32169618 COL16A1
1 86194915 86622154 COL24A1
1 86194915 86622455 COL24A1*
1 86194915 86622667 COL24A1**
1 36560839 36590823 COL8A2
1 40766160 40782958 COL9A2
1 183904968 184006862 COLGALT2
1 183898795 184006862 COLGALT2*
1 175913966 176176422 COP1
1 175913961 176176380 COP1*
1 160258383 160313040 COPA
1 227127994 227175245 COQ8A
1 10510087 10512055 CORT
1 244998777 245008365 COX20
1 244998607 245008365 COX20*
1 244998959 245008359 COX20**
1 16558186 16563678 CPLANE2
1 53662495 53679869 CPT2
1 1260181 1264276 CPTP
1 207669501 207815110 CR1
1 207818477 207897048 CR1L
1 207627672 207663237 CR2
1 156669399 156675608 CRABP2
1 156669399 156675375 CRABP2*
1 197237333 197447585 CRB1
1 197237381 197447585 CRB1*
1 197170633 197447585 CRB1**
1 152486957 152488484 CRCT1
1 153940377 153946834 CREB3L4
1 153940725 153946834 CREB3L4*
1 167510250 167522999 CREG1
1 152381718 152386739 CRNN
1 17248425 17299455 CROCC
1 16944750 16957401 CROCCP2
1 16793930 16819196 CROCCP3
1 159682078 159684379 CRP
1 153920151 153931088 CRTC2
1 26648349 26680621 CRYBG2
1 75171171 75199092 CRYZ
1 75171171 75198734 CRYZ*
1 177975274 178007142 CRYZL2P
1 177897923 178007142 CRYZL2P-SEC16B
1 177914469 178007111 CRYZL2P-SEC16B*
1 115259536 115300605 CSDE1
1 115259533 115300671 CSDE1*
1 110453470 110473614 CSF1
1 110453470 110469366 CSF1*
1 110453470 110467824 CSF1**
1 36931643 36948915 CSF3R
1 36931643 36948514 CSF3R*
1 33979597 34630831 CSMD2
1 33979598 34631443 CSMD2*
1 34334556 34351059 CSMD2-AS1
1 201452657 201465701 CSRP1
1 201452657 201476251 CSRP1*
1 201452657 201475967 CSRP1**
1 85015293 85040123 CTBS
1 70876950 70905534 CTH
1 70876900 70905534 CTH*
1 9908333 9970327 CTNNBIP1
1 41445367 41478237 CTPS1
1 41454190 41478237 CTPS1*
1 15764938 15775737 CTRC
1 206317472 206332104 CTSE
1 150768683 150780736 CTSK
1 150702663 150738254 CTSS
1 112938835 113003786 CTTNBP2NL
1 150859728 150885768 CTXND2
1 110036700 110043063 CYB561D1
1 110036657 110043063 CYB561D1*
1 110036715 110043057 CYB561D1**
1 202931001 202936385 CYB5R1
1 54656223 54665774 CYB5RL
1 54635330 54665703 CYB5RL*
1 54651825 54665703 CYB5RL**
1 157098153 157098463 CYCSP52
1 111023387 111033891 CYMP
1 111030301 111032880 CYMP-AS1
1 60358979 60392445 CYP2J2
1 60358979 60392470 CYP2J2*
1 47394859 47407148 CYP4A11
1 47603112 47615399 CYP4A22
1 47603096 47613153 CYP4A22*
1 47264717 47285085 CYP4B1
1 47427035 47516426 CYP4X1
1 47469857 47516423 CYP4X1*
1 47489340 47516423 CYP4X1**
1 47532902 47583990 CYP4Z1
1 47308766 47366147 CYP4Z2P
1 53685472 53686311 CZIB
1 53679771 53686306 CZIB*
1 53679771 53686311 CZIB**
1 57460450 57888784 DAB1
1 57460450 57890426 DAB1*
1 57460450 58716175 DAB1**
1 57460450 57889732 DAB1***
1 57460450 57889978 DAB1****
1 57609681 57889732 DAB1*****
1 57460450 59012398 DAB1******
1 57609681 57889978 DAB1*******
1 57609681 58716175 DAB1********
1 58326252 58328888 DAB1-AS1
1 155658881 155708800 DAP3
1 155658884 155708800 DAP3*
1 173793810 173821155 DARS2
1 173793810 173827684 DARS2*
1 100652474 100715390 DBT
1 167905476 168045081 DCAF6
1 167905796 168045081 DCAF6*
1 160209011 160232318 DCAF8
1 160185509 160232339 DCAF8*
1 160209011 160232277 DCAF8**
1 32674694 32681797 DCDC2B
1 114447947 114456702 DCLRE1B
1 114447947 114456708 DCLRE1B*
1 114447240 114456708 DCLRE1B**
1 155006281 155023406 DCST1
1 155006299 155023406 DCST1*
1 155017667 155036467 DCST1-AS1
1 155017667 155023641 DCST1-AS1*
1 154991002 155006257 DCST2
1 85784167 85930842 DDAH1
1 85784167 86043883 DDAH1*
1 85784167 85870189 DDAH1**
1 15943952 15995539 DDI2
1 20978270 20987862 DDOST
1 162600652 162757195 DDR2
1 162601764 162757195 DDR2*
1 162602253 162757195 DDR2**
1 11873 14409 DDX11L1
1 11868 14362 DDX11L17
1 112298522 112310622 DDX20
1 200613164 200639126 DDX59
1 200609932 200639035 DDX59*
1 200613164 200636068 DDX59**
1 200613164 200635879 DDX59***
1 200613164 200639035 DDX59****
1 200613164 200638864 DDX59*****
1 200638634 200663378 DDX59-AS1
1 161090763 161102457 DEDD
1 161090768 161102256 DEDD*
1 161090768 161102478 DEDD**
1 224371381 224381142 DEGS1
1 224370941 224381142 DEGS1*
1 197521389 197744610 DENND1B
1 197473878 197744610 DENND1B*
1 197703138 197744610 DENND1B**
1 115125470 115212670 DENND2C
1 111728590 111747160 DENND2D
1 111728590 111743268 DENND2D*
1 153901976 153917732 DENND4B
1 153901976 153919194 DENND4B*
1 68939834 68962765 DEPDC1
1 68962358 69004310 DEPDC1-AS1
1 244816427 244872334 DESI2
1 10516578 10532586 DFFA
1 10520602 10532586 DFFA*
1 3773830 3801993 DFFB
1 3774039 3801993 DFFB*
1 55315299 55352868 DHCR24
1 26758772 26797795 DHDDS
1 26758811 26797795 DHDDS*
1 26789247 26794028 DHDDS-AS1
1 12627938 12656626 DHRS3
1 12627938 12678216 DHRS3*
1 12627938 12676793 DHRS3**
1 182808481 182857117 DHX9
1 54359859 54376759 DIO1
1 93298285 93427079 DIPK1A
1 93307716 93427079 DIPK1A*
1 93307716 93342707 DIPK1A**
1 93307723 93427019 DIPK1A***
1 68511570 68517314 DIRAS3
1 231762560 231954990 DISC1
1 231762535 231991125 DISC1*
1 231762535 232095249 DISC1**
1 231762535 232145400 DISC1***
1 231762560 231886365 DISC1****
1 231762535 231838402 DISC1*****
1 231762535 232002452 DISC1******
